Name,Latitude,Longitude
Oslo s, 59.91131060412924, 10.752594251377593
Oslo city, 59.912829452747744, 10.75349812416618
Grønland Torg, 59.9128042790276, 10.75903852959254
Oslo Camping, 59.91475938113854, 10.747221229788096
Oslo Domkirke, 59.912485410262896, 10.747003630778336
Scandic Victoria, 59.9126448450356, 10.737529704845802
Oslo Rådhus, 59.91225884374894, 10.733897475306465
The Thief, 59.9078266817842, 10.720905526549258
Ensjø tbane, 59.91378769429743, 10.78783933375247
Oslo Teatersenter, 59.916951766774496, 10.78225107999291
Naturhistorisk Musem, 59.92025026808871, 10.770581752126933
Parketeatret Scene, 59.923647398479055, 10.7584532779535
Klatreverket Løkka, 59.929396944524946, 10.757915069924568
Ullevål, 59.93790483276038, 10.736504823578512